ENSG00000269896.2	66	29	37
ENSG00000272420.1	28	17	11
ENSG00000157916.20	2505	2027	2065
ENSG00000157911.10	141	886	845
ENSG00000149527.18	2	0	2
ENSG00000224387.1	1	0	1
ENSG00000229393.1	4	4	0
ENSG00000157881.15	698	358	340
ENSG00000197921.6	9	4	5
ENSG00000272449.2	51	21	30
ENSG00000238164.6	29	40	47
ENSG00000157873.17	820	400	478
ENSG00000225931.3	0	0	0
ENSG00000228037.1	1	1	0
ENSG00000157870.16	242	225	237
ENSG00000142606.16	3	103	120
ENSG00000237058.1	0	7	12
ENSG00000215912.12	14	18	15
ENSG00000285945.1	0	0	0
ENSG00000283259.1	0	0	0
ENSG00000233234.1	0	0	0
ENSG00000287396.1	0	0	0
ENSG00000231630.1	0	0	0
ENSG00000284745.1	0	0	0
ENSG00000169717.7	0	0	0
ENSG00000177133.11	20	10	10
ENSG00000142611.17	124	59	65
ENSG00000283572.1	0	0	0
ENSG00000226286.1	1	0	1
ENSG00000279839.1	28	10	18
ENSG00000272235.1	9	6	3
ENSG00000287828.1	0	0	0
ENSG00000286518.1	4	2	2
ENSG00000130762.15	37	15	23
ENSG00000272088.1	0	0	0
ENSG00000162591.16	2452	1331	1122
ENSG00000207776.1	23	10	13
ENSG00000238260.1	11	6	5
ENSG00000158109.15	905	450	455
ENSG00000116213.16	857	440	417
ENSG00000078900.15	23	52	37
ENSG00000227589.1	0	0	0
ENSG00000235131.1	0	0	0
ENSG00000227372.12	570	335	329
ENSG00000276189.1	0	12	7
ENSG00000162592.10	0	8	1
ENSG00000235169.8	130	50	80
ENSG00000130764.10	3143	1664	1566
ENSG00000266075.2	0	0	0
ENSG00000272153.1	1	36	52
ENSG00000116198.13	1265	616	649
ENSG00000169598.15	660	324	336
ENSG00000198912.11	1109	559	550
ENSG00000236423.6	59	29	30
ENSG00000233304.7	0	0	0
ENSG00000226374.3	0	0	0
ENSG00000284668.2	0	0	0
ENSG00000284703.1	0	0	0
ENSG00000229280.1	0	0	0
ENSG00000235054.4	0	0	0
ENSG00000284694.1	0	0	0
ENSG00000227169.2	0	0	0
ENSG00000232596.3	0	0	0
ENSG00000196581.11	0	0	0
ENSG00000287586.1	0	0	0
ENSG00000284739.1	0	0	0
ENSG00000284674.1	0	0	0
ENSG00000231510.1	0	0	0
ENSG00000284616.1	0	0	0
ENSG00000284692.2	0	0	0
ENSG00000284666.1	0	0	0
ENSG00000260972.1	0	0	0
ENSG00000283356.1	0	0	0
ENSG00000236948.2	6	5	1
ENSG00000264341.1	0	0	0
ENSG00000264101.1	0	0	0
ENSG00000131697.18	559	300	260
ENSG00000069424.15	5924	2948	2977
ENSG00000116254.18	156	76	80
ENSG00000285629.1	0	0	0
ENSG00000116251.11	4303	2098	2214
ENSG00000226944.1	0	0	0
ENSG00000158286.13	59	80	141
ENSG00000116237.16	1526	873	860
ENSG00000225077.3	11	33	38
ENSG00000173673.8	0	0	0
ENSG00000158292.7	58	21	37
ENSG00000097021.19	2500	1265	1242
ENSG00000271746.1	0	4	3
ENSG00000069812.11	5	1	4
ENSG00000187017.17	0	23	37
ENSG00000265392.1	0	0	0
ENSG00000231868.1	0	0	0
ENSG00000215788.10	137	120	77
ENSG00000171680.22	15	1	14
ENSG00000162408.11	2376	1156	1220
ENSG00000253022.1	16	8	8
ENSG00000229519.2	143	62	81
ENSG00000173662.21	3	0	3
ENSG00000204859.13	1553	723	830
ENSG00000162413.16	369	211	158
ENSG00000116273.6	837	412	425
ENSG00000041988.15	905	1567	1454
ENSG00000007923.16	647	1342	1421
ENSG00000228750.7	0	0	0
ENSG00000284744.1	0	0	0
ENSG00000237436.1	54	30	24
ENSG00000171735.19	2584	1270	1314
ENSG00000227950.1	0	0	0
ENSG00000237365.1	0	0	0
ENSG00000207056.1	3	2	1
ENSG00000237402.1	2	0	2
ENSG00000237728.2	0	0	0
ENSG00000225126.1	0	0	0
ENSG00000270171.1	1	1	0
ENSG00000270035.1	0	0	0
ENSG00000269978.1	39	20	19
ENSG00000049245.13	1093	511	582
ENSG00000269925.1	18	15	3
ENSG00000049246.14	373	235	215
ENSG00000236266.1	0	25	27
ENSG00000049247.13	7	12	20
ENSG00000049249.8	47	29	18
ENSG00000270330.1	0	0	0
ENSG00000116288.13	7407	3727	3680
ENSG00000200344.1	0	0	0
ENSG00000284747.1	144	102	89
ENSG00000284716.1	41	35	32
ENSG00000116285.13	18	13	26
ENSG00000238290.1	0	0	0
ENSG00000232848.1	0	0	0
ENSG00000229305.1	0	0	0
ENSG00000227634.3	0	0	0
ENSG00000200975.1	0	0	0
ENSG00000233645.1	0	0	0
ENSG00000251977.1	0	0	0
ENSG00000162426.14	1	0	1
ENSG00000252254.1	0	0	0
ENSG00000142599.19	4231	2082	2149
ENSG00000232912.6	9	2	7
ENSG00000221083.1	17	7	10
ENSG00000270282.1	1	0	1
ENSG00000234619.1	0	0	0
ENSG00000224315.2	53	32	21
ENSG00000222511.2	22	11	11
ENSG00000226545.1	14	8	6
ENSG00000228423.2	94	34	60
ENSG00000229716.2	0	0	0
ENSG00000074800.16	59619	29674	29955
ENSG00000274258.1	0	0	0
ENSG00000230679.1	37	28	19
ENSG00000201725.1	0	0	0
ENSG00000238249.2	9	9	0
ENSG00000232208.2	1	1	0
ENSG00000232663.2	0	0	0
ENSG00000131686.15	0	0	0
ENSG00000265141.2	3	1	2
ENSG00000197241.3	0	0	0
ENSG00000142583.18	2383	1213	1170
ENSG00000252404.1	0	0	0
ENSG00000180758.12	218	101	117
ENSG00000228526.7	26	18	11
ENSG00000284357.1	0	0	0
ENSG00000234546.4	26	14	15
ENSG00000049239.12	1198	646	552
ENSG00000171621.14	32	14	18
ENSG00000284652.1	0	0	0
ENSG00000284693.1	3	0	3
ENSG00000252956.1	0	0	0
ENSG00000235263.1	0	0	0
ENSG00000171612.7	1091	557	534
ENSG00000231181.1	45	12	33
ENSG00000188807.13	729	376	353
ENSG00000171608.16	3855	2433	2353
ENSG00000179840.5	130	75	55
ENSG00000233268.3	2	2	0
ENSG00000231789.2	72	50	22
ENSG00000171603.17	1375	1201	1105
ENSG00000271264.1	0	0	0
ENSG00000280113.2	3	2	1
ENSG00000178585.15	308	277	284
ENSG00000223989.1	0	119	133
ENSG00000285701.1	19	9	10
ENSG00000162441.12	2385	1245	1150
ENSG00000228150.1	22	16	16
ENSG00000173614.14	456	243	213
ENSG00000202415.1	7	4	3
ENSG00000283611.2	64	29	35
ENSG00000265521.1	14	3	11
ENSG00000241326.1	0	0	0
ENSG00000162444.12	21	13	8
ENSG00000130939.20	1607	830	778
ENSG00000224340.1	0	0	0
ENSG00000233623.2	30	5	25
ENSG00000201746.1	0	0	0
ENSG00000054523.17	1999	1016	986
ENSG00000264881.1	20	9	11
ENSG00000199562.1	69	32	37
ENSG00000264501.2	0	0	0
ENSG00000284735.1	103	53	53
ENSG00000284642.1	61	25	36
ENSG00000142657.21	12108	6048	6060
ENSG00000271989.1	0	263	247
ENSG00000251503.8	1	3	0
ENSG00000175279.22	64	34	30
ENSG00000241563.3	20	8	12
ENSG00000160049.12	3633	2363	2306
ENSG00000203469.2	0	461	429
ENSG00000142655.13	303	187	262
ENSG00000287727.1	47	28	19
ENSG00000243267.3	0	0	0
ENSG00000130940.15	194	114	133
ENSG00000272078.1	22	35	40
ENSG00000225158.2	0	0	0
ENSG00000175262.14	1	0	1
ENSG00000215785.2	14	7	7
ENSG00000120948.17	14129	7017	7112
