gene,test_statistic,adj_pvalue
ENSG00000223972.5,1.07831534247041,NA
ENSG00000227232.5,5.51783079481924,1.52501730372117e-07
ENSG00000278267.1,-0.984120573712882,NA
ENSG00000243485.5,0.739247948115094,0.534008534806975
ENSG00000284332.1,NA,NA
ENSG00000237613.2,-1.42091710339421,NA
ENSG00000268020.3,NA,NA
ENSG00000240361.2,NA,NA
ENSG00000186092.6,NA,NA
ENSG00000238009.6,-0.773903173512218,0.513695333183572
ENSG00000239945.1,NA,NA
ENSG00000233750.3,4.26664139839857,6.12264721939425e-05
ENSG00000268903.1,0.865762004293177,0.462822540749871
ENSG00000269981.1,-1.25981504637772,0.274891717961659
ENSG00000239906.1,-1.0504473395937,NA
ENSG00000241860.7,-1.56308773753956,0.170526084602276
ENSG00000222623.1,-0.297564227328012,NA
ENSG00000241599.1,-0.814115309962298,NA
ENSG00000279928.2,-0.350578037897696,0.776505676587709
ENSG00000279457.4,6.08697820611285,6.02958452949859e-09
ENSG00000273874.1,NA,NA
ENSG00000228463.10,-1.40165223624302,0.220849657593953
ENSG00000286448.1,-1.0504473395937,NA
ENSG00000236679.2,-0.684929499505549,NA
ENSG00000236601.2,NA,NA
ENSG00000237094.12,-3.21984529183483,0.00297005888455139
ENSG00000269732.1,NA,NA
ENSG00000284733.1,NA,NA
ENSG00000233653.3,NA,NA
ENSG00000250575.1,-0.527571802595125,NA
ENSG00000278757.1,0.16288311586277,NA
ENSG00000230021.10,-0.235612560740439,0.85038069031104
ENSG00000235146.2,NA,NA
ENSG00000225972.1,-4.41481051505883,3.24917449133878e-05
ENSG00000225630.1,-3.05792735045181,0.00492761932906205
ENSG00000237973.1,-0.562232660583067,0.641605880134609
ENSG00000278791.1,NA,NA
ENSG00000229344.1,-0.680089771712507,0.569258307306753
ENSG00000240409.1,-0.387002220435856,0.753499435477345
ENSG00000248527.1,5.36373074934564,3.45904260894173e-07
ENSG00000198744.5,0.374702517377843,0.76168655032543
ENSG00000268663.1,-0.773149655115167,NA
ENSG00000284662.1,-1.0504473395937,NA
ENSG00000229376.3,1.19690782415698,0.299880905298042
ENSG00000228327.3,0.300016330522629,0.808959276454527
ENSG00000223181.1,1.59716264367692,0.161190605091494
ENSG00000229905.1,3.35669811376128,0.00189793576956099
ENSG00000237491.10,-1.48119088614438,0.195123839295666
ENSG00000285268.1,NA,NA
ENSG00000230092.7,0.400568875377495,0.744620067860832
ENSG00000177757.2,-6.59213870242981,2.63953381091686e-10
ENSG00000228794.9,-4.79544859018289,5.79881169598573e-06
ENSG00000225880.5,0.532665364997364,0.660387059964467
ENSG00000230368.2,-1.10988192100058,NA
ENSG00000234711.1,-0.408738548527991,NA
ENSG00000283040.1,NA,NA
ENSG00000272438.1,1.0822151969953,0.351880417973371
ENSG00000230699.2,2.22619261653764,0.0458933346151854
ENSG00000241180.1,-0.773149655115167,NA
ENSG00000223764.2,-0.402864371908298,0.743138674437587
ENSG00000187634.12,-4.7136754746592,8.49981833252028e-06
ENSG00000188976.11,0.632533704465452,0.597791917628713
ENSG00000187961.14,3.24253746496911,0.00276201961676908
ENSG00000187583.11,-4.2414613273093,6.80281248758933e-05
ENSG00000187642.9,NA,NA
ENSG00000272512.1,-0.773149655115167,NA
ENSG00000188290.10,-1.37691403175867,0.22985710362687
ENSG00000187608.10,5.18478205887727,8.72218693380204e-07
